filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.650071719,0.563590724,0.569925891,0.545421946,0.57901028,0.640867798,0.571957925,0.586062634,0.562036816
ant-1.4_ant-1.5,0.7570941,0.753193564,0.766747928,0.638810336,0.762749878,0.759726962,0.771818625,0.743539737,0.768015602
ant-1.5_ant-1.6,0.804301375,0.805555556,0.81667286,0.814040629,0.733138239,0.817772204,0.786866716,0.80970519,0.803093645
ant-1.6_ant-1.7,0.79675549,0.804972003,0.827987371,0.827735197,0.829796275,0.826103014,0.798002462,0.824165045,0.812572972
camel-1.0_camel-1.2,0.497690437,0.623815285,0.628702233,0.623812135,0.620695957,0.668295649,0.649261444,0.65534571,0.489090227
camel-1.2_camel-1.4,0.760564152,0.781055731,0.769437218,0.732784472,0.752120704,0.664707997,0.770036286,0.721662331,0.762849172
camel-1.4_camel-1.6,0.756100518,0.748609326,0.752035233,0.745716062,0.739372021,0.750895337,0.725502591,0.758172021,0.757496373
ivy-1.1_ivy-1.4,0.680728446,0.735361918,0.77593361,0.73121254,0.753803596,0.766712771,0.6604426,0.782388197,0.778930383
ivy-1.4_ivy-2.0,0.795556006,0.76755276,0.781427557,0.695616883,0.823356331,0.786576705,0.771864854,0.29393263,0.294338474
jedit-3.2_jedit-4.0,0.837902713,0.8396813,0.841430968,0.836716988,0.833044132,0.837873793,0.833261033,0.844727862,0.842168431
jedit-4.0_jedit-4.1,0.758241758,0.784768994,0.797456576,0.805063216,0.778462129,0.7868959,0.803084013,0.755199102,0.793202765
jedit-4.1_jedit-4.2,0.872500129,0.869595394,0.871214848,0.851395815,0.869389749,0.839674053,0.878129659,0.874659401,0.869621099
jedit-4.2_jedit-4.3,0.659891599,0.64600271,0.633468835,0.611449864,0.636686992,0.622289973,0.667852304,0.632452575,0.642107046
log4j-1.0_log4j-1.1,0.807552806,0.801258801,0.801258801,0.806912737,0.796244933,0.806272669,0.809579689,0.786857265,0.796564967
log4j-1.1_log4j-1.2,0.545998629,0.544901557,0.545215006,0.53690861,0.543451856,0.560240964,0.555627388,0.542109903,0.54975022
lucene-2.0_lucene-2.2,0.688796965,0.700531988,0.708482466,0.712267011,0.701069843,0.709792877,0.715068748,0.699837666,0.69473293
lucene-2.2_lucene-2.4,0.70388589,0.676605547,0.69977662,0.707008563,0.652429263,0.690855361,0.689556962,0.652056962,0.646221147
poi-1.5_poi-2.0,0.694471664,0.467826229,0.653682835,0.635064511,0.658133268,0.651151396,0.647027601,0.540829659,0.587865425
poi-2.0_poi-2.5,0.514620863,0.53044093,0.505427838,0.458980938,0.455566611,0.455053414,0.460991831,0.448544198,0.460557185
poi-2.5_poi-3.0,0.682459276,0.689316742,0.624665158,0.674588235,0.662171946,0.679662896,0.684588235,0.681633484,0.68788009
synapse-1.0_synapse-1.1,0.40995541,0.526253526,0.609427609,0.64041314,0.304622805,0.578965329,0.624852125,0.407839658,0.636886887
synapse-1.1_synapse-1.2,0.623060345,0.585641164,0.647454203,0.64609375,0.624461207,0.667510776,0.644450431,0.64762931,0.414789871
velocity-1.4_velocity-1.5,0.642459836,0.642361013,0.613307169,0.613843634,0.628850552,0.64141514,0.622667081,0.657452636,0.650746817
velocity-1.5_velocity-1.6,0.735784877,0.727740749,0.71034245,0.666927143,0.719857504,0.722638474,0.725028729,0.717444266,0.712755688
xalan-2.4_xalan-2.5,0.644844076,0.633917536,0.616160444,0.636248719,0.633251484,0.632342698,0.629761746,0.619738129,0.633340604
xalan-2.5_xalan-2.6,0.67304678,0.637832316,0.638917966,0.67448678,0.616202486,0.623751412,0.637734689,0.624735819,0.637712994
xalan-2.6_xalan-2.7,0.569897798,0.570089614,0.570664156,0.569031223,0.569800756,0.568415415,0.569447052,0.569346836,0.57018983
xerces-init_xerces-1.2,0.616462451,0.602035573,0.61715415,0.536462451,0.654367589,0.662312253,0.622588933,0.634565217,0.58715415
xerces-1.2_xerces-1.3,0.671533473,0.555181919,0.575312539,0.564320763,0.695592995,0.53983804,0.59091377,0.585326379,0.516807924
xerces-1.3_xerces-1.4,0.697226698,0.729583312,0.735777049,0.719673333,0.706569783,0.746250725,0.731738999,0.719486855,0.708772356
,0.684981876,0.678175793,0.690182253,0.675300254,0.677809039,0.690162066,0.688323484,0.660581556,0.655608403
