filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.655510399,0.561439158,0.603753287,0.579488405,0.569567296,0.649175233,0.569806359,0.597418121,0.567893856
ant-1.4_ant-1.5,0.699463676,0.763286202,0.724329595,0.638810336,0.641735739,0.710385178,0.771818625,0.746465139,0.718186251
ant-1.5_ant-1.6,0.812383872,0.804270408,0.81667286,0.78892605,0.808466493,0.820450886,0.786866716,0.763161154,0.789932491
ant-1.6_ant-1.7,0.811830348,0.814435487,0.828019141,0.829438863,0.811965371,0.829192645,0.822969699,0.817096223,0.827401612
camel-1.0_camel-1.2,0.675822999,0.659293708,0.661647384,0.607774375,0.620695957,0.653066079,0.609891737,0.609519938,0.666795851
camel-1.2_camel-1.4,0.755757908,0.764483774,0.753075791,0.759489251,0.763660482,0.747127893,0.768310968,0.775458716,0.769245516
camel-1.4_camel-1.6,0.754860104,0.744058031,0.738694301,0.748588601,0.740259067,0.750895337,0.732009326,0.763280829,0.739020725
ivy-1.1_ivy-1.4,0.820193638,0.735361918,0.77823882,0.752650991,0.753803596,0.773397879,0.741816505,0.745965883,0.768556939
ivy-1.4_ivy-2.0,0.816355519,0.76755276,0.830915179,0.740868506,0.824624594,0.810217127,0.795657468,0.802658279,0.727982955
jedit-3.2_jedit-4.0,0.834041876,0.772745676,0.840303083,0.836904968,0.833044132,0.837873793,0.74524264,0.827520389,0.840259703
jedit-4.0_jedit-4.1,0.820054945,0.818208673,0.795802316,0.810557722,0.796348812,0.808770531,0.766557367,0.79360156,0.793202765
jedit-4.1_jedit-4.2,0.87214025,0.873759704,0.870572207,0.846254691,0.879235001,0.872937124,0.871523315,0.869081281,0.87067503
jedit-4.2_jedit-4.3,0.638550136,0.638042005,0.671239837,0.641598916,0.634993225,0.653116531,0.667852304,0.68546748,0.638380759
log4j-1.0_log4j-1.1,0.806912737,0.793577982,0.777469597,0.802325581,0.800405377,0.789737572,0.810326435,0.790697674,0.775442714
log4j-1.1_log4j-1.2,0.558585562,0.550945244,0.559721814,0.559790381,0.561435988,0.560368302,0.563620335,0.55203252,0.553315702
lucene-2.0_lucene-2.2,0.690097596,0.700531988,0.714975845,0.689608637,0.713499188,0.707416535,0.710985938,0.696630093,0.713983258
lucene-2.2_lucene-2.4,0.686653016,0.674155343,0.69977662,0.657923027,0.652429263,0.696779598,0.689556962,0.652052308,0.646221147
poi-1.5_poi-2.0,0.695206598,0.664461865,0.705618161,0.614282215,0.720725135,0.651151396,0.647027601,0.699902009,0.58966193
poi-2.0_poi-2.5,0.457834101,0.472015082,0.50651969,0.471219103,0.457923125,0.476806661,0.460991831,0.448544198,0.464369501
poi-2.5_poi-3.0,0.688303167,0.702384615,0.704923077,0.683375566,0.687938914,0.679425339,0.675470588,0.681633484,0.690162896
synapse-1.0_synapse-1.1,0.618391118,0.706024206,0.693420693,0.64041314,0.714896715,0.712576213,0.711529712,0.727045227,0.72026572
synapse-1.1_synapse-1.2,0.624892241,0.585641164,0.63984375,0.632219828,0.674946121,0.688052263,0.638362069,0.660317888,0.641540948
velocity-1.4_velocity-1.5,0.642459836,0.642015134,0.614471864,0.627071745,0.630177598,0.637462236,0.63891634,0.603262558,0.650746817
velocity-1.5_velocity-1.6,0.730291887,0.712870604,0.705447024,0.725166628,0.714203631,0.707446564,0.712686739,0.723419903,0.715927373
xalan-2.4_xalan-2.5,0.64755988,0.636283898,0.616160444,0.644848766,0.629874318,0.636173671,0.641853877,0.643643306,0.635756216
xalan-2.5_xalan-2.6,0.675752316,0.672599322,0.638917966,0.673306215,0.660715028,0.661317966,0.640181695,0.674217401,0.647525424
xalan-2.6_xalan-2.7,0.56899948,0.569950853,0.568695204,0.570003909,0.567854477,0.56903213,0.570457829,0.569346836,0.570503176
xerces-init_xerces-1.2,0.616462451,0.598379447,0.621482213,0.645237154,0.654328063,0.662312253,0.620059289,0.632391304,0.700968379
xerces-1.2_xerces-1.3,0.563417173,0.555181919,0.572819087,0.552436834,0.571818275,0.550704,0.585091903,0.540558625,0.529120772
xerces-1.3_xerces-1.4,0.734759411,0.715557495,0.736485133,0.72124188,0.701794346,0.723009693,0.6872693,0.743340068,0.736451034
,0.699118141,0.688983789,0.699667066,0.683060743,0.693112178,0.700879288,0.688490382,0.694524346,0.689983249
