filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.651685393,0.576021994,0.586899355,0.527372699,0.575902462,0.587018886,0.590724361,0.560961033,0.569925891
ant-1.4_ant-1.5,0.7570941,0.762652365,0.725694783,0.665919064,0.767528035,0.731935641,0.762944905,0.747732813,0.762847392
ant-1.5_ant-1.6,0.804301375,0.822788926,0.815875449,0.820450886,0.823795367,0.820450886,0.765623065,0.820450886,0.816332219
ant-1.6_ant-1.7,0.82437155,0.826156626,0.828448036,0.824693221,0.828227632,0.825928279,0.825098288,0.824165045,0.828223661
camel-1.0_camel-1.2,0.675822999,0.659293708,0.666517002,0.607774375,0.620695957,0.657845899,0.609891737,0.666203494,0.656297263
camel-1.2_camel-1.4,0.758188416,0.763357524,0.76472169,0.762600986,0.763326715,0.763487608,0.770036286,0.744009311,0.762849172
camel-1.4_camel-1.6,0.741587565,0.73721658,0.738897409,0.755676684,0.735874611,0.742737824,0.748961658,0.738691192,0.738439378
ivy-1.1_ivy-1.4,0.772475795,0.763024435,0.770746888,0.765790687,0.770862148,0.767404334,0.781235592,0.770401107,0.772706316
ivy-1.4_ivy-2.0,0.816355519,0.743912338,0.830915179,0.817065747,0.823356331,0.786424513,0.79007711,0.80757914,0.826552354
jedit-3.2_jedit-4.0,0.829226676,0.833463474,0.839796981,0.838669096,0.840606744,0.841120076,0.841749089,0.838640176,0.840201862
jedit-4.0_jedit-4.1,0.806776557,0.827440033,0.820246957,0.801547914,0.807293513,0.822174465,0.805742644,0.822226161,0.822078459
jedit-4.1_jedit-4.2,0.875044985,0.873759704,0.869466865,0.870752146,0.863811629,0.8700838,0.870520796,0.869184104,0.87067503
jedit-4.2_jedit-4.3,0.655826558,0.64600271,0.674796748,0.657520325,0.637872629,0.66649729,0.667852304,0.642784553,0.638888889
log4j-1.0_log4j-1.1,0.799445274,0.786537231,0.788564114,0.799231918,0.775762748,0.800725411,0.808192874,0.787817367,0.775016002
log4j-1.1_log4j-1.2,0.558752081,0.547272015,0.560211578,0.55379567,0.560613184,0.554089529,0.559378979,0.5643158,0.557272994
lucene-2.0_lucene-2.2,0.723151245,0.696493184,0.707147607,0.713450292,0.715709284,0.668695848,0.711533572,0.715855972,0.716638307
lucene-2.2_lucene-2.4,0.66875,0.673927308,0.694112993,0.707008563,0.654346612,0.694126955,0.681706069,0.701098287,0.685424423
poi-1.5_poi-2.0,0.658419076,0.676792422,0.658337416,0.660460559,0.658500735,0.658337416,0.647476727,0.657275845,0.587865425
poi-2.0_poi-2.5,0.516249476,0.537028697,0.507179514,0.469600964,0.455566611,0.442032363,0.450107352,0.455414747,0.464146942
poi-2.5_poi-3.0,0.680493213,0.698968326,0.686054299,0.664945701,0.699178733,0.679425339,0.687321267,0.691357466,0.687683258
synapse-1.0_synapse-1.1,0.61959687,0.70970971,0.677359177,0.67021567,0.723814724,0.564996815,0.697106197,0.706479206,0.72008372
synapse-1.1_synapse-1.2,0.649434267,0.665086207,0.654956897,0.64609375,0.682085129,0.65705819,0.677559267,0.64762931,0.665045797
velocity-1.4_velocity-1.5,0.620252986,0.643716294,0.600199057,0.652292684,0.630177598,0.636156366,0.606036649,0.609735438,0.652455036
velocity-1.5_velocity-1.6,0.711158354,0.698299242,0.710595265,0.71162951,0.720374627,0.700137899,0.725028729,0.706665134,0.711583544
xalan-2.4_xalan-2.5,0.646593635,0.627070566,0.63653484,0.634241181,0.632970053,0.631180624,0.647672452,0.627688541,0.635832436
xalan-2.5_xalan-2.6,0.66428565,0.656989831,0.663376271,0.674319548,0.616202486,0.623751412,0.673242938,0.624735819,0.636488136
xalan-2.6_xalan-2.7,0.566951172,0.56839637,0.569837033,0.57020026,0.570009804,0.568698378,0.567932927,0.568638974,0.569144136
xerces-init_xerces-1.2,0.620889328,0.602035573,0.608537549,0.536462451,0.516620553,0.615701581,0.522351779,0.699436759,0.636610672
xerces-1.2_xerces-1.3,0.543114985,0.56556177,0.572819087,0.534845417,0.55229958,0.53983804,0.581614796,0.510311224,0.465125988
xerces-1.3_xerces-1.4,0.697226698,0.740646259,0.72998131,0.723287279,0.743976757,0.726205394,0.71824278,0.745435016,0.755833568
,0.697117393,0.697654047,0.698627578,0.687930508,0.692245433,0.688142235,0.693098773,0.695763997,0.694275609
