filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.646904136,0.563590724,0.603036098,0.579847,0.564546976,0.655032273,0.523667224,0.597418121,0.567893856
ant-1.4_ant-1.5,0.697805948,0.739541687,0.724427109,0.59629449,0.641735739,0.726133593,0.698683569,0.618722574,0.718186251
ant-1.5_ant-1.6,0.731202775,0.805555556,0.815875449,0.789127338,0.760126347,0.78291837,0.765623065,0.790613774,0.801452372
ant-1.6_ant-1.7,0.814292522,0.814943807,0.827862277,0.819244669,0.829796275,0.827548549,0.81148485,0.817096223,0.827469124
camel-1.0_camel-1.2,0.67891397,0.673459871,0.674562664,0.597660189,0.620695957,0.607282844,0.609891737,0.646756529,0.67500063
camel-1.2_camel-1.4,0.75524442,0.781055731,0.753062098,0.759489251,0.75801383,0.747127893,0.769991784,0.775667534,0.760589826
camel-1.4_camel-1.6,0.755334715,0.756509845,0.752035233,0.745678756,0.739372021,0.752787565,0.741308808,0.734810363,0.738271503
ivy-1.1_ivy-1.4,0.829183956,0.759566621,0.77593361,0.698939604,0.77132319,0.801060396,0.771784232,0.745965883,0.769017981
ivy-1.4_ivy-2.0,0.795556006,0.76755276,0.795505276,0.709719968,0.747666396,0.766081575,0.804433847,0.79537845,0.714995942
jedit-3.2_jedit-4.0,0.818584071,0.838322054,0.808635549,0.834345538,0.833044132,0.837873793,0.83488056,0.841242987,0.842168431
jedit-4.0_jedit-4.1,0.815047855,0.816155619,0.795802316,0.823732719,0.796348812,0.792508567,0.75590807,0.840098074,0.80366005
jedit-4.1_jedit-4.2,0.872731479,0.874762223,0.869466865,0.871266259,0.879209295,0.872937124,0.873939643,0.874145288,0.870700735
jedit-4.2_jedit-4.3,0.629065041,0.632283198,0.674796748,0.642276423,0.634485095,0.639397019,0.654471545,0.68546748,0.680386179
log4j-1.0_log4j-1.1,0.793151269,0.786857265,0.773629187,0.797845103,0.796244933,0.806272669,0.809579689,0.778109665,0.766588436
log4j-1.1_log4j-1.2,0.559839357,0.547418944,0.559819767,0.557615829,0.560613184,0.560368302,0.560613184,0.548006661,0.553315702
lucene-2.0_lucene-2.2,0.715503921,0.700531988,0.714164173,0.68704649,0.715357234,0.706360383,0.710985938,0.699837666,0.715816855
lucene-2.2_lucene-2.4,0.686653016,0.66152271,0.674450856,0.679346612,0.652429263,0.679881794,0.689556962,0.653220402,0.631315153
poi-1.5_poi-2.0,0.694471664,0.663073657,0.705618161,0.635064511,0.658133268,0.651151396,0.615711253,0.697778867,0.657194186
poi-2.0_poi-2.5,0.566060955,0.538028907,0.507179514,0.471219103,0.457923125,0.477301529,0.459080436,0.455414747,0.462083682
poi-2.5_poi-3.0,0.682067873,0.689316742,0.705056561,0.674588235,0.690352941,0.68058371,0.675470588,0.678760181,0.687864253
synapse-1.0_synapse-1.1,0.615979616,0.678769679,0.723177723,0.68011193,0.679224679,0.714305214,0.703248703,0.718946219,0.677313677
synapse-1.1_synapse-1.2,0.653717672,0.665086207,0.647454203,0.64609375,0.678259698,0.687621228,0.6625,0.657596983,0.641540948
velocity-1.4_velocity-1.5,0.626111754,0.641626902,0.613307169,0.627071745,0.558622978,0.642544541,0.593937939,0.603262558,0.650746817
velocity-1.5_velocity-1.6,0.733647437,0.714502413,0.715582625,0.71512296,0.711491611,0.725327511,0.735865318,0.723350954,0.715375776
xalan-2.4_xalan-2.5,0.640884114,0.635690548,0.629184813,0.632167976,0.641351992,0.636184224,0.630088909,0.622367159,0.635714001
xalan-2.5_xalan-2.6,0.673122712,0.656989831,0.638917966,0.67448678,0.651140339,0.655728814,0.637734689,0.674217401,0.647525424
xalan-2.6_xalan-2.7,0.56899948,0.569950853,0.568309758,0.561461505,0.568146963,0.568415415,0.569301943,0.57041747,0.570514512
xerces-init_xerces-1.2,0.618814229,0.603666008,0.621482213,0.637450593,0.720395257,0.662312253,0.693142292,0.709407115,0.698992095
xerces-1.2_xerces-1.3,0.563417173,0.587356598,0.575312539,0.552436834,0.529029269,0.557435176,0.59091377,0.535177115,0.516807924
xerces-1.3_xerces-1.4,0.720673388,0.715557495,0.735777049,0.730683533,0.703287769,0.711366533,0.69790974,0.704098682,0.694349074
,0.698432751,0.695974881,0.699314186,0.680914523,0.684945619,0.697728342,0.688390343,0.693111771,0.689761713
