filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,lasso,ridge
ant-1.3_ant-1.4,21,21,21,21,21,21,21,21,14,10,10,14,9,6,9,14,16,8,6,12,7,9,8,8,11,9,7,13,6,9,8,9,13,9,21,11,9,11,20,15,15,10,7,11,13,8,5,2,3,8,5,5,4,21
ant-1.4_ant-1.5,21,21,21,21,21,21,21,21,16,11,7,13,10,5,11,8,12,7,9,10,6,6,5,5,8,4,6,8,6,8,8,6,6,6,20,5,12,10,16,17,15,8,4,6,12,10,5,3,4,11,6,7,5,21
ant-1.5_ant-1.6,21,21,21,21,21,21,21,21,14,12,10,16,8,10,12,12,10,9,8,11,14,10,13,9,10,8,8,15,10,8,9,9,11,8,17,8,10,14,17,18,20,16,8,9,13,11,8,8,5,6,10,4,8,21
ant-1.6_ant-1.7,21,21,21,21,21,21,21,21,15,4,7,15,8,10,10,9,16,8,5,13,8,10,6,5,9,3,6,10,8,9,7,6,9,9,16,8,7,16,16,20,15,11,4,6,9,10,2,3,2,7,2,6,4,21
camel-1.0_camel-1.2,21,21,21,21,21,21,21,21,18,11,12,17,9,12,13,14,16,9,6,15,10,11,10,10,15,7,6,18,10,12,11,10,12,7,18,9,14,11,17,17,17,16,6,11,9,14,7,5,3,6,8,9,1,21
camel-1.2_camel-1.4,21,21,21,21,21,21,21,21,18,10,8,17,9,9,10,13,12,10,8,14,9,8,11,8,14,4,7,11,6,6,7,6,14,7,17,10,9,10,19,18,18,16,12,14,12,12,8,3,4,10,9,6,5,21
camel-1.4_camel-1.6,21,21,21,21,21,21,21,21,15,9,10,15,12,7,11,7,16,8,9,9,11,7,12,8,6,7,7,13,6,6,6,9,11,9,15,13,13,8,17,20,18,13,8,12,13,14,6,5,7,9,9,5,6,21
ivy-1.1_ivy-1.4,21,21,21,21,21,21,21,21,15,6,7,16,15,15,9,9,14,8,6,13,8,8,7,9,11,7,6,11,7,10,8,11,9,8,19,13,14,12,15,20,15,16,4,13,15,10,7,5,7,13,6,6,9,21
ivy-1.4_ivy-2.0,21,21,21,21,21,21,21,21,17,9,9,20,13,13,14,13,11,10,8,15,9,9,10,7,12,9,8,12,7,7,6,7,13,10,19,16,14,12,16,17,17,14,4,9,15,11,9,5,8,7,8,4,4,21
jedit-3.2_jedit-4.0,21,21,21,21,21,21,21,21,17,11,8,15,9,10,9,10,13,6,8,15,8,11,8,9,13,4,6,10,8,8,7,10,10,9,17,8,9,13,19,18,17,14,12,8,12,13,9,4,7,8,5,7,15,21
jedit-4.0_jedit-4.1,21,21,21,21,21,21,21,21,18,12,11,15,15,10,9,11,16,7,9,13,8,8,11,10,10,4,8,11,5,12,9,9,15,10,18,11,9,13,19,18,18,12,5,13,10,12,6,3,4,8,9,5,15,21
jedit-4.1_jedit-4.2,21,21,21,21,21,21,21,21,16,11,9,18,11,9,12,8,13,8,6,10,6,7,7,8,11,6,5,12,10,7,10,8,14,10,15,7,8,10,20,15,20,14,8,10,11,7,5,2,9,9,4,4,21,21
jedit-4.2_jedit-4.3,21,21,21,21,21,21,21,21,14,8,7,15,8,14,9,11,9,7,8,11,10,9,6,8,11,6,8,14,9,9,8,6,13,8,16,8,10,17,19,19,17,12,10,13,10,12,9,8,6,6,4,6,21,21
log4j-1.0_log4j-1.1,21,21,21,21,21,21,21,21,18,8,7,16,9,9,11,10,16,7,6,11,9,8,8,11,10,6,6,10,7,8,8,8,10,7,19,13,12,15,20,16,17,11,4,10,15,12,8,6,3,8,9,8,12,21
log4j-1.1_log4j-1.2,21,21,21,21,21,21,21,21,18,10,7,15,10,11,9,8,13,10,5,14,10,9,11,8,11,5,6,14,7,10,6,10,11,7,17,16,11,9,17,20,16,13,7,13,13,14,8,3,6,11,7,4,8,21
lucene-2.0_lucene-2.2,21,21,21,21,21,21,21,21,18,10,6,16,10,13,10,8,12,7,6,14,6,7,8,6,12,8,6,11,7,9,6,6,15,9,18,9,7,7,13,19,16,14,3,13,15,12,7,3,8,7,5,3,9,21
lucene-2.2_lucene-2.4,21,21,21,21,21,21,21,21,18,10,10,17,10,9,9,9,15,6,7,15,8,7,7,6,11,8,7,14,11,13,6,6,15,10,16,10,12,13,20,19,17,14,10,13,17,15,10,3,5,8,10,8,6,21
poi-1.5_poi-2.0,21,21,21,21,21,21,21,21,15,13,11,15,9,12,11,10,11,10,6,14,7,13,8,6,13,4,8,8,6,9,6,8,9,11,15,7,8,14,12,18,16,9,4,12,10,10,6,6,4,5,9,5,5,21
