filename,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.560961033,0.586899355
ant-1.4_ant-1.5,0.767528035,0.765967821
ant-1.5_ant-1.6,0.820450886,0.820450886
ant-1.6_ant-1.7,0.805309559,0.82733013
camel-1.0_camel-1.2,0.666595773,0.621801901
camel-1.2_camel-1.4,0.761673285,0.763487608
camel-1.4_camel-1.6,0.738116062,0.742737824
ivy-1.1_ivy-1.4,0.769709544,0.770401107
ivy-1.4_ivy-2.0,0.832893669,0.789721997
jedit-3.2_jedit-4.0,0.840230783,0.844048239
jedit-4.0_jedit-4.1,0.823082831,0.778329198
jedit-4.1_jedit-4.2,0.864197214,0.8700838
jedit-4.2_jedit-4.3,0.642784553,0.632621951
log4j-1.0_log4j-1.1,0.802645616,0.774482611
log4j-1.1_log4j-1.2,0.549456362,0.561367421
lucene-2.0_lucene-2.2,0.717626005,0.715723953
lucene-2.2_lucene-2.4,0.65694341,0.656975987
poi-1.5_poi-2.0,0.681528662,0.664706843
poi-2.0_poi-2.5,0.455414747,0.484426058
poi-2.5_poi-3.0,0.6699819,0.679662896
synapse-1.0_synapse-1.1,0.706479206,0.578965329
synapse-1.1_synapse-1.2,0.64762931,0.643157328
velocity-1.4_velocity-1.5,0.609735438,0.637462236
velocity-1.5_velocity-1.6,0.714157665,0.709170306
xalan-2.4_xalan-2.5,0.626089077,0.633028685
xalan-2.5_xalan-2.6,0.639501921,0.6952
xalan-2.6_xalan-2.7,0.569591254,0.56953049
xerces-init_xerces-1.2,0.699436759,0.615701581
xerces-1.2_xerces-1.3,0.503482826,0.574157316
xerces-1.3_xerces-1.4,0.723109858,0.734360881
,0.695544775,0.691398724
